start,end,chapter,paragraph,kind,asset,text,credit,narration,camera,sfx,music,transition
0.0,5.773333333333333,Don't delete it,c01p01,photo,04_MEDIA/images/silent_hills_pt_screen_20140821_02.jpg,,P.T. © Konami / via Silent Hill Memories,"Imagine deleting a free game to make room on your console. Nothing dramatic. You need the space. You'll download it again later. Except, when you go back, the download is gone. The game is still sitting on somebody else's hard drive. Yours is just missing.",slow push,chapter punctuation only,ducked licensed score,hard cut
5.773333333333333,11.546666666666667,Don't delete it,c01p01,photo,04_MEDIA/images/gs_download_error.jpg,THE DOWNLOAD IS GONE,GameSpot / PS4 test / 6 May 2015,,slow push,chapter punctuation only,ducked licensed score,hard cut
11.546666666666667,17.32,Don't delete it,c01p01,photo,04_MEDIA/images/silent_hills_pt_screen_20140821_07.jpg,,P.T. © Konami / via Silent Hill Memories,,slow push,chapter punctuation only,ducked licensed score,hard cut
17.32,23.676000000000002,Don't delete it,c01p02,photo,04_MEDIA/images/silent_hills_pt_screen_20140821_07.jpg,,P.T. © Konami / via Silent Hill Memories,"That happened with P.T., a horror game built around a hallway you couldn't escape. Then its publisher removed the way back in. A tiny advertisement became something players were afraid to lose.",slow push,chapter punctuation only,ducked licensed score,hard cut
23.676000000000002,30.032,Don't delete it,c01p02,title,,P.T.,P.T. / a story of access and preservation,,timed reveal,chapter punctuation only,ducked licensed score,hard cut
30.032,34.42,Don't delete it,c01p03,photo,04_MEDIA/images/silent_hills_pt_screen_20140821_03.jpg,,P.T. © Konami / via Silent Hill Memories,"And years after the game it advertised was cancelled, someone moved the camera where you were never meant to look. There was still something behind you.",slow push,chapter punctuation only,ducked licensed score,hard cut
34.42,38.808,Don't delete it,c01p03,photo,04_MEDIA/images/silent_hills_pt_screen_20140821_07.jpg,,P.T. © Konami / via Silent Hill Memories,,slow push,chapter punctuation only,ducked licensed score,hard cut
38.808,43.161,Don't delete it,c01p04,photo,04_MEDIA/images/silent_hills_pt_screen_20140821_02.jpg,,P.T. © Konami / via Silent Hill Memories,"To understand why people cared this much about a free download, we need to go back to the night it was pretending to be something else.",slow push,chapter punctuation only,ducked licensed score,hard cut
43.161,47.514,Don't delete it,c01p04,photo,04_MEDIA/images/silent_hills_pt_screen_20140821_03.jpg,,P.T. © Konami / via Silent Hill Memories,,slow push,chapter punctuation only,ducked licensed score,hard cut
47.514,53.495333333333335,A studio nobody knew,c02p01,photo,04_MEDIA/images/silent_hills_pt_screen_20140821_01.jpg,,P.T. © Konami / via Silent Hill Memories,"August twelfth, twenty fourteen. Sony's Gamescom presentation introduces a horror project called P.T. You can download it on PlayStation Four. It's free. The studio name is seven seven eight zero S. Which tells you approximately nothing.",slow push,chapter punctuation only,ducked licensed score,hard cut
53.495333333333335,59.47666666666667,A studio nobody knew,c02p01,title,,12 AUG 2014,P.T. / a story of access and preservation,,timed reveal,chapter punctuation only,ducked licensed score,hard cut
59.47666666666667,65.458,A studio nobody knew,c02p01,photo,04_MEDIA/images/silent_hills_pt_screen_20140821_03.jpg,,P.T. © Konami / via Silent Hill Memories,,slow push,chapter punctuation only,ducked licensed score,hard cut
