rank,topic,curiosity,clickability,emotional_reaction,thumbnail_potential,title_potential,retention_potential,story_depth,visual_potential,current_interest,evergreen_potential,competition_opportunity,audience_fit,overall_mean
1,"P.T. — the horror demo that became harder to play than escape",10,9,9,9,9,10,9,8,6,10,6,10,8.75
2,"Backrooms — the real room behind the internet nightmare",10,9,8,10,9,9,8,9,10,8,4,10,8.67
3,"Far Lands or Bust — the Minecraft walk that took 14.5 years",9,8,8,9,9,9,10,8,7,10,6,10,8.58
4,"Coyote vs. Acme — the shelved movie that escaped deletion",9,9,8,9,9,9,9,7,10,8,5,9,8.42
5,"Herobrine — players found the world behind a fake haunting",9,9,8,9,9,9,8,9,6,10,5,10,8.42
6,"World of Warcraft — the boss attack that escaped into a world",9,9,8,9,9,9,8,9,5,10,6,10,8.42
7,"Polybius — the arcade nightmare with no machine to find",10,9,8,10,9,9,9,8,5,10,2,10,8.25
8,"Half-Life 3 — how waiting became its own game",9,9,8,9,9,8,10,8,8,8,3,10,8.25
9,"FEX — the band that did not know the internet was looking for it",10,9,8,8,9,9,10,6,6,9,5,9,8.17
10,"Superman Lives — the Nicolas Cage movie that stopped before filming",9,9,8,10,9,8,9,7,6,9,4,10,8.17
11,"Star Wars 1313 — the bounty hunter game that never escaped",9,8,8,9,9,9,8,7,5,9,6,10,8.08
12,"Sonic — the trailer that forced a character redesign",8,9,8,10,9,8,8,8,6,9,4,10,8.08
13,"Arkham Asylum — when Scarecrow made players think the game broke",9,8,8,8,9,8,6,9,5,10,7,10,8.08
14,"Concord — a game that vanished two weeks after release",9,9,8,9,9,8,8,8,6,8,4,10,8.00
15,"Shrek — the lost test that looked nothing like the movie",9,9,8,9,9,8,7,7,6,9,6,9,8.00
16,"The Day Before — the launch that ended the studio in four days",9,9,8,9,9,9,8,7,5,8,4,10,7.92
17,"Everyone Knows That — the lost song with an unexpected origin",10,9,9,8,9,9,8,6,5,8,4,9,7.83

