id,start,end,narration
c01p01,0.0,17.16,"Imagine deleting a free game to make room on your console. Nothing dramatic. You need the space. You'll download it again later. Except, when you go back, the download is gone. The game is still sitting on somebody else's hard drive. Yours is just missing."
c01p02,17.32,29.872,"That happened with P.T., a horror game built around a hallway you couldn't escape. Then its publisher removed the way back in. A tiny advertisement became something players were afraid to lose."
c01p03,30.032,38.648,"And years after the game it advertised was cancelled, someone moved the camera where you were never meant to look. There was still something behind you."
c01p04,38.808,47.064,"To understand why people cared this much about a free download, we need to go back to the night it was pretending to be something else."
c02p01,47.514,65.298,"August twelfth, twenty fourteen. Sony's Gamescom presentation introduces a horror project called P.T. You can download it on PlayStation Four. It's free. The studio name is seven seven eight zero S. Which tells you approximately nothing."
c02p02,65.458,81.13,"There isn't a familiar series name doing the selling. You don't get to arrive with a shopping list of things the sequel ought to do. You enter a house. There's a corridor, a corner, a few doors. The sort of place you'd walk through without remembering it."
c02p03,81.29,96.842,"Walk to the end, go through the door, and you're back. Same corridor. That's the trick. The game gives you so little space that you start paying attention to every piece of it. A photo. A lamp. A doorway you really don't want to inspect."
c02p04,97.002,112.146,"P.T. doesn't need to show you a giant monster immediately. It makes you suspicious of the furniture. Very economical. Extremely unpleasant. And the more familiar the room becomes, the less comfortable you are in it."
c03p01,112.596,128.34,"In most games, knowing the map makes you safer. You remember the route. You know where the enemies can come from. Here, familiarity gives the game a weapon. You know what the hallway looked like last time. So a small change suddenly feels enormous."
c03p02,128.5,149.068,"The official survival tips actually tell players to inspect things and notice what's different between loops. Think about that instruction inside a horror game. To progress, you have to stop avoiding the strange detail. You have to go closer. Congratulations. Curiosity is now a health hazard."
c03p03,149.228,162.956,"The corner does a lot of work. You can't see everything at once. The door does even more. A closed door is a promise that there is something on the other side, and the game keeps making you decide whether you're ready to find out."
c03p04,163.116,182.412,That's why merely describing the layout makes P.T. sound smaller than it feels. The important space is the bit you can't currently see. The corridor is limited. Your imagination has no budget limit. And then the game adds another problem: you're not even sure what it wants you to do.
c04p01,182.862,201.51,"P.T. makes observation feel useful, but it doesn't hand you a friendly checklist. The audio contains clues. Some speech is reversed; some isn't in English. You're dealing with a space that changes, information you may not understand, and the possibility that you missed a trigger three loops ago."
c04p02,201.67,219.766,"So the experience spills out of the console. People compare attempts. Someone gets further, somebody else tries to reproduce it. A successful action becomes a theory. A theory becomes a ritual. And a ritual can spread faster than anybody checks whether it was necessary."
c04p03,219.926,238.646,"That last part matters. The community having a method doesn't mean every step in the method causes something. When the rules are hidden, it's easy to confuse the thing you did before progress with the thing that produced progress. P.T. is a wonderful machine for creating that uncertainty."
c04p04,238.806,256.038,Contemporary reporting says Kojima expected the mystery to take at least a week to solve. Players broke through within hours. Imagine setting a puzzle for the internet and expecting the internet to go to bed. The reward for finishing wasn't just an exit. It was a name.
c05p01,256.488,274.776,"At the end, a man walks through a deserted street. His face is Norman Reedus. The credits connect the project to Hideo Kojima and Guillermo del Toro. Then comes Silent Hills. Suddenly, the strange little download is an announcement for something much bigger."
c05p02,274.936,293.272,That reveal changes your memory of the room. What looked like an unknown studio's experiment is now a demonstration attached to people with reputations. It's a sales pitch delivered after you've already felt the thing it's selling. No trailer narrator needed. Your nervous system has seen enough.
c05p03,293.432,310.712,"But there's a warning tucked into this excitement. The teaser says it has no direct relation to the main title. So we cannot treat the corridor as a slice cut from a finished Silent Hills. We don't know that the larger game would have kept this house, this structure, or this exact kind of fear."
c05p04,310.872,324.456,"What players had was a real, playable experience. What they were promised was a future project. Those two things are easy to merge when you're excited. They become much harder to separate when the future project disappears."
c06p01,324.906,346.194,"By late April twenty fifteen, the news had changed completely. On April twenty seventh, Konami confirmed that the Silent Hills project would not continue. The same statement described it as embryonic. That's a pretty substantial detail when this story gets retold as a finished masterpiece being thrown away."
c06p02,346.354,364.21,We can mourn what might have been. We cannot review a game that never arrived. There is no completed Silent Hills here for us to compare against the version in everyone's head. The imaginary version gets to be perfect forever. Actual games rarely get that luxury.
c06p03,364.37,386.33,"And we don't need to invent a secret conversation inside Konami to make the cancellation hurt. Kojima, del Toro, Reedus, that hallway: the public had enough pieces to imagine a remarkable collaboration. The announcement shut down that particular future. It did not cancel the entire Silent Hill series."
c06p04,386.49,403.002,"Normally, the teaser could remain as an odd souvenir. A little demonstration from a project that didn't work out. You could show a friend, explain the context, and let them experience it. But a notice had already put a deadline on that possibility."
c07p01,403.452,422.316,"The notice said P.T.'s distribution would end on April twenty ninth. That date matters. So does the next step, because these are often squeezed into one event. First, the teaser left the store. Then, the normal route for previous downloaders to get it again stopped working too."
c07p02,422.476,440.164,"Reporting on May sixth described the change in North America. For a short time after removal, people who had already downloaded it could still return through their history. By that report, they couldn't. Having obtained P.T. before was no longer the same as having a fresh download available."
c07p03,440.324,457.556,"That is a very different problem from missing a promotion. If the game is installed, you can play your copy. If you delete that installation, the ordinary recovery path you expected may be gone. A routine storage decision has acquired an unpleasant amount of consequence."
c07p04,457.716,477.3,"To be precise: Konami did not remotely wipe every installed copy. P.T. did not cease to exist. That distinction makes the situation stranger. The experience survived, but access was uneven. The hallway was still there. The door depended on which console you were standing in front of."
c08p01,477.75,496.662,"This is the point where an ordinary console starts to feel like a container for something fragile. Not because the plastic has changed. Because of what's still on the drive. A digital object, which once seemed endlessly replaceable, suddenly has a very physical address."
c08p02,496.822,513.574,"Notice how neatly that reverses the original game. In the hallway, you wanted to leave. Outside it, people wanted a way back. The thing you couldn't escape became the thing you might never get to enter. There is a pretty good horror story in that, without adding a single ghost."
c08p03,513.734,532.934,"A recording preserves a lot: the lighting, the sounds, the surprise at the ending. But the video decides when to turn the corner. Playing asks you to turn it. That hesitation belongs to you. A clip of somebody else being afraid cannot completely preserve the decision that made them afraid."
c08p04,533.094,547.446,"And keeping the software matters for another reason. A recording shows what somebody happened to see. The software may contain something that nobody has looked at properly yet. In twenty nineteen, that difference paid off."
c09p01,547.896,569.28,"Lance McDonald investigated P.T. by changing how its camera behaved. In the sequence he demonstrated, after the flashlight encounter, Lisa's character model follows behind the player. The camera normally moves with you. McDonald separated the viewpoint from that movement and exposed what was happening out of sight."
c09p02,569.44,583.696,"After that flashlight encounter, the model follows you. Turn around normally and your viewpoint moves with the character, keeping the trick hidden. McDonald's detached camera lets us see what an ordinary turn cannot."
c09p03,583.856,605.312,"The distinction doesn't make it less creepy. You're looking at a system designed around your limited viewpoint. Some of the unsettling shadows and sounds now have a visible explanation. The feeling that something is nearby has an actual piece of game machinery behind it. Literally behind it, in this case."
c09p04,605.472,624.12,"Four years after the cancellation, the teaser still had a reveal left. A new one came from looking at the old software differently. That is what gets lost when we reduce preservation to keeping a video of the ending. Sometimes the interesting part isn't in the ending. It's just outside the frame."
c10p01,624.57,642.138,"Then the next console generation arrived. In twenty twenty, reviewers reported that P.T. could initially be transferred to early PlayStation Five review hardware and played there. For a moment, the hallway appeared to have made the jump. Later, that stopped working."
c10p02,642.298,651.25,Sony told Polygon that blocking it was a publisher decision. Buying a newer console hadn't opened a permanent way back into the hallway.
c10p03,651.41,669.914,"Think about the expectation being interrupted. A new console is supposed to move your library forward. In this case, the surviving installation on the older machine remained important. Upgrading the hardware and preserving this experience were no longer automatically the same thing."
c10p04,670.074,681.69,"Those were tests on review hardware in twenty twenty. Fan recreations and recovery methods are another story. The ordinary option, sending a friend the store link, was gone."
c11p01,682.14,701.34,"By now, there are really two P.T. stories. One is the thing people played: a finite set of rooms, tricks, sounds, and puzzles. The other is the future people built around it. Silent Hills, imagined from a few names and a very effective nightmare."
c11p02,701.5,721.708,"The second story can swallow the first. Every time somebody calls the cancelled project the greatest horror game we never got, the imagined version gets a little bigger. Meanwhile, the actual teaser is sitting there doing something more interesting than being a promise. It works as an experience you can discuss on its own."
c11p03,721.868,742.244,"The corridor, the unreliable familiarity, the need to look closer: those are concrete choices. You can argue about whether the puzzles are satisfying. You can find the atmosphere effective and the final triggers frustrating. It doesn't have to be flawless to deserve a future beyond somebody's memory of it."
c11p04,742.404,761.316,And the camera investigation gives us a better reason to care than nostalgia alone. Preserving an interactive work keeps the possibility of discovering something new in it. Even when the advertising campaign is over. Even when the thing being advertised is never coming out.
c12p01,761.766,780.438,P.T. began by hiding what it was. It ended up showing us how easily access to a digital experience can become uncertain. The mystery inside the house had an answer. The fate of the project outside it was something players couldn't solve by staring at another photograph.
